Edad,Hombres,Mujeres
0,134449,129017
1,140720,135327
2,150242,146662
3,152857,150532
4,154107,150472
5,152126,147091
6,153291,149855
7,152805,148795
8,159008,152004
9,152725,149242
10,159924,153379
11,141395,138266
12,147028,142540
13,140639,137146
14,143892,142623
15,151117,148961
16,143693,142766
17,154284,152735
18,158455,156024
19,136162,141223
20,148958,153026
21,126487,130617
22,141456,145244
23,132475,138684
24,128004,136410
25,128347,138151
26,118878,129591
27,119394,129469
28,125115,134073
29,107667,118519
30,137015,151420
31,91880,103880
32,120856,136746
33,112657,125163
34,110758,123044
35,121182,135470
36,118304,132875
37,110268,120696
38,123718,134905
39,100299,111119
40,129325,142149
41,76645,84367
42,114077,121138
43,86914,96722
44,77528,87109
45,95494,104003
46,78254,87681
47,75542,82241
48,79718,88022
49,71200,79347
50,90437,100152
51,53542,59042
52,71553,77394
53,60499,66489
54,58013,66855
55,60290,66385
56,55659,58965
57,43695,47224
58,46508,51440
59,41513,44547
60,53939,58882
61,26794,30474
62,37847,41540
63,37069,41129
64,32397,37156
65,34439,38249
66,24067,27346
67,24173,26579
68,24797,29102
69,20900,23843
70,26907,32218
71,13040,15247
72,19680,23261
73,16860,20371
74,16122,19330
75,15931,19353
76,12857,15575
77,9850,12200
78,12344,14816
79,8089,10014
80,10764,14808
81,5012,6195
82,6746,9080
83,5677,8007
84,5520,8063
85,5460,8114
86,4247,5968
87,3458,5165
88,2832,4087
89,2219,3500
90,2328,3778
91,795,1226
92,1050,1775
93,779,1389
94,576,1096
95,549,1093
96,511,984
97,338,699
98,337,730
99,214,430
100,429,966
